team,conference,mascot,latitude,longitude,venue_name
Grambling,SWAC,Tigers,32.5258665,-92.7146412,Eddie Robinson Stadium
Grand Valley State University,GLIAC,Lakers,42.968996,-85.894735,Lubbers Stadium
Greeneville,South Atlantic,Pioneers,36.1631575,-82.8309861,Pioneer Field (TN)
Greensboro College,USA South,Pride,36.0726355,-79.7919754,Jamieson Stadium
Greenville,Upper Midwest,Panthers,38.8922687,-89.4131356,Francis Field (IL)
Grinnell,Midwest,Pioneers,41.7430237,-92.7239637,Rosenbloom Field
Grove City College,Presidents',Wolverines,41.1579008,-80.0886631,Robert E. Thorn Field
Guilford College,Old Dominion,Quakers,36.0726355,-79.7919754,Armfield Athletic Center
Gustavus Adolphus,Minnesota,Golden Gusties,44.3238384,-93.9585295,Hollingsworth Field
Hamilton,NESCAC,Continentals,44.7278943,-73.6686982,Steuben Field
Hamline University,Minnesota,Pipers,44.9497487,-93.0931028,Klas Field
Hampden-Sydney,Old Dominion,Tigers,37.3024713,-78.3923813,Lewis C. Everett Stadium
Hampton,CAA,Pirates,37.0200894,-76.3331555,Armstrong Stadium
Hanover College,Heartland,Panthers,38.7142263,-85.4735707,Alumni Stadium (IN)
Harding University,Great American,Bisons,35.9018987,-92.7098744,First Security Stadium
Hardin-Simmons,American Southwest,Cowboys,32.44645,-99.7475905,Shelton Stadium
Hartwick,Empire 8,Hawks,42.453492,-75.0629531,Wright Stadium
Harvard,Ivy,Crimson,42.366704,-71.1267511,Harvard Stadium
Hawai'i,Mountain West,Rainbow Warriors,21.294294,-157.819338,Clarence T.C. Ching Athletics Complex
Heidelberg,Ohio,Student Princes,41.114485,-83.1779537,Hoernemann Stadium
Henderson State,Great American,Reddies,34.1209292,-93.053784,Ruggles Field at Carpenter-Haygood Stadium
Hendrix College,Southern Athletic,Warriors,35.2521996,-92.6888936,Young-Wise Memorial Stadium
Hillsdale,Great Midwest Athletic,Chargers,41.8779105,-84.5984396,"Frank ""Muddy"" Waters Stadium"
Hiram College,Presidents',Terriers,41.312555,-81.14371,Charles A. Henry Field
Hobart College,Liberty League,Statesmen,42.8690271,-76.9786122,Boswell Field at David J. Urick Stadium
Holy Cross,Patriot,Crusaders,42.2403564,-71.8111424,Fitton Field
Hope College,Michigan,Flying Dutchmen,42.7876022,-86.1090828,Ray and Sue Smith Stadium
Houston,Big 12,Cougars,29.7219885,-95.3491623,TDECU Stadium
Houston Christian,Southland,Huskies,29.6949025,-95.5167353,Husky Stadium
Howard,MEAC,Bison,38.925487,-77.021047,William H. Greene Stadium
Howard Payne,American Southwest,Yellow Jackets,31.7070026,-98.9831022,Gordon Wood Stadium
Huntingdon College (AL),USA South,Hawks,32.3669656,-86.3006485,Charles Lee Field at Samford Stadium
Husson,Commonwealth Coast,Eagles,44.8011821,-68.7778138,Dr. John W. Winkin Sports Complex
Idaho,Big Sky,Vandals,46.7262921,-117.0173713,Kibbie Dome
Idaho State,Big Sky,Bengals,42.8702052,-112.4281274,Holt Arena
Illinois,Big Ten,Fighting Illini,40.0993268,-88.2359569,"Memorial Stadium (Champaign, IL)"
Illinois College,Midwest,Blueboys,39.7343037,-90.2288356,England Stadium
Illinois State,MVFC,Redbirds,40.5125091,-88.9967177,Hancock Stadium
Illinois Wesleyan,CCIW,Titans,40.4797828,-88.9939147,Tucci Stadium
Incarnate Word,Southland,Cardinals,29.4674787,-98.470014,Gayle and Tom Benson Stadium
Indiana,Big Ten,Hoosiers,39.1808959,-86.5256217,"Memorial Stadium (Bloomington, IN)"
Indiana-Pennsylvania,Pennsylvania State Athletic,Crimson Hawks,40.6214551,-79.1525349,George P. Miller Stadium
Indianapolis,Great Lakes,Greyhounds,39.7683331,-86.1583502,Key Stadium
Indiana State,MVFC,Sycamores,39.4746858,-87.3669599,Memorial Stadium
Iowa,Big Ten,Hawkeyes,41.6586045,-91.5510829,Kinnick Stadium
Iowa State,Big 12,Cyclones,42.0139977,-93.6357716,Jack Trice Stadium
Ithaca College,Liberty League,Bombers,42.4396039,-76.4968019,Butterfield Stadium
Jackson State,SWAC,Tigers,32.3300053,-90.1795578,Mississippi Veterans Memorial Stadium
Jacksonville State,Conference USA,Gamecocks,33.8201052,-85.76647,AmFirst Stadium
James Madison,Sun Belt,Dukes,38.4352919,-78.8729349,Bridgeforth Stadium
John Carroll University,Ohio,Blue Streaks,41.497831,-81.537346,Don Shula Stadium at Wasmer Field
Johns Hopkins University,Centennial,Blue Jays,39.2908816,-76.610759,Homewood Field
Johnson C Smith,CIAA,Golden Bulls,35.2272086,-80.8430827,Irwin Belk Complex
Juniata College,Landmark Conference,Eagles,40.4847959,-78.0102813,Knox Stadium
Kalamazoo,Michigan,Hornets,42.291707,-85.5872286,Angell Field
Kansas,Big 12,Jayhawks,38.9629418,-95.2463686,Memorial Stadium
Kansas State,Big 12,Wildcats,39.2020096,-96.5938395,Bill Snyder Family Stadium
Kennesaw State,Conference USA,Owls,34.0289318,-84.5676234,Fifth Third Stadium
Kent State,Mid-American,Golden Flashes,41.1390935,-81.31346,Dix Stadium
Kentucky,SEC,Wildcats,38.0220905,-84.5053408,Kroger Field
Kentucky State,SIAC,Thorobreds,38.2009055,-84.8732836,Alumni Stadium (KY)
Kentucky Wesleyan,Great Midwest Athletic,Panthers,37.742297,-87.119976,Steele Stadium
Kenyon,North Coast,Owls,40.375643,-82.3970994,McBride Field
Keystone,Independent DIII,Giants,41.5565738,-75.7551655,Athletic Field Complex
Kings College (PA),Mid Atlantic,Monarchs,41.23369915,-75.85364178943517,McCarthy Stadium (Wilkes Barre)
Kutztown University,Pennsylvania State Athletic,Golden Bears,40.5173165,-75.7774177,Andre Reed Stadium
Lafayette,Patriot,Leopards,40.7009796,-75.2106499,Fisher Field
Lagrange College,USA South,Panthers,33.039291,-85.0313269,Callaway Stadium
Lake Erie,Great Midwest Athletic,Storm,41.7244885,-81.245657,Jack Britt Memorial Stadium
Lake Forest College,Midwest,Foresters,42.2586342,-87.840625,Farwell Field
Lamar,Southland,Cardinals,30.04313,-94.069963,Provost Umphrey Stadium
La Verne,So. Cal.,Leopards,34.1008426,-117.7678355,Ortmayer Stadium
Lawrence University,Midwest,Vikings,44.2613967,-88.4069744,Ron Roberts Field at the Banta Bowl
