year,team,rec_qb,rec_rb,rec_wr,rec_ol,rec_dl,rec_lb,rec_db
2018,NC State,0.890500009059906,0.9016000032424927,0.8522500097751617,0.8516999880472819,0.8685750067234039,0.8995500206947327,0.8612750172615051
2018,Navy,,0.788266658782959,0.7889800071716309,0.772800013422966,0.7832666834195455,0.7746750116348267,0.7812555631001791
2018,Nebraska,0.942300021648407,0.9190000295639038,0.8765999913215637,0.855349987745285,0.879399985074997,,0.8476749956607819
2018,Nevada,0.7545333305994669,0.7943000197410583,0.8091285739626203,0.7785600066184998,0.839900016784668,0.7630000114440918,0.808566669623057
2018,New Hampshire,,,,,,0.7797999978065491,
2018,New Mexico,,0.8299000263214111,0.8000999987125397,,0.7497000098228455,,0.7600499987602234
2018,New Mexico State,,0.8198999762535095,0.7700000107288361,0.7801750153303146,0.7807833353678385,0.8276000022888184,0.7936500012874603
2018,North Carolina,0.8816500008106232,0.8590500056743622,0.9320999979972839,0.9012749940156937,0.8662199974060059,0.8532499969005585,0.8466333150863647
2018,North Carolina A&T,,0.7497000098228455,,,,,
2018,North Dakota,,,0.744700014591217,0.7497000098228455,,0.8115000128746033,
2018,North Dakota State,0.8104000091552734,0.744700014591217,0.727400004863739,0.7463666796684265,0.7677200078964234,,0.7897999882698059
2018,North Texas,0.8059000074863434,,0.8134500086307526,0.7794500142335892,0.7968000173568726,0.7988333503405253,0.8146800041198731
2018,Northern Illinois,0.8050999939441681,0.8011333346366882,0.8264999985694885,0.8210000097751617,0.7922750115394592,0.8124333421389262,0.8020400166511535
2018,Northern Iowa,,,,,0.8004000186920166,0.7698000073432922,
2018,Northwestern,0.8601999878883362,0.8499999940395355,0.8479499816894531,0.8485500067472458,0.8848499953746796,0.8526500165462494,0.8558333317438761
2018,Northwestern State,,,0.7953000068664551,,0.76910001039505,0.7781000137329102,
2018,Notre Dame,0.9592999815940857,0.8588500022888184,0.9071400046348572,0.8779750019311905,0.8967999815940857,0.9221000075340271,0.9087400078773499
2018,Ohio,0.7897999882698059,,0.7870000123977661,0.7825500071048737,0.7797999978065491,0.7750666737556458,0.7903000116348267
2018,Ohio State,0.895799994468689,0.9523333311080933,0.9152399897575378,0.9696000019709269,0.9131833215554556,0.9357750117778778,0.9345750063657761
2018,Oklahoma,0.9092000126838684,0.9542999863624573,0.8132333358128866,0.945250004529953,0.9422000050544739,0.9043333331743876,0.891759991645813
2018,Oklahoma State,0.9311000108718872,0.8659999966621399,0.9092499911785126,0.8625,0.8510000109672546,0.8188999891281128,0.862283339103063
2018,Old Dominion,0.7897999882698059,0.8050500154495239,0.7776166697343191,0.7739500105381012,0.7920500040054321,0.7797999978065491,0.7812333504358927
2018,Ole Miss,0.8746500015258789,,0.8984666665395101,0.8504999876022339,0.8676749914884567,0.8511999994516373,0.8198600053787232
